,Games,Cards,Coins,Scopas,7 Of Coin,Total Points,Players
0,1.0,30.0,6.0,1.0,0.0,3.0,CPU1
1,2.0,27.0,8.0,1.0,1.0,4.0,CPU1
2,3.0,23.0,6.0,2.0,1.0,5.0,CPU1
3,4.0,24.0,7.0,1.0,0.0,3.0,CPU1
4,5.0,25.0,6.0,0.0,1.0,3.0,CPU1
5,6.0,17.0,4.0,0.0,0.0,0.0,CPU1
6,7.0,20.0,6.0,0.0,1.0,2.0,CPU1
7,8.0,23.0,5.0,1.0,0.0,2.0,CPU1
8,9.0,22.0,5.0,0.0,1.0,2.0,CPU1
9,10.0,19.0,3.0,0.0,0.0,0.0,CPU1
10,11.0,29.0,6.0,2.0,1.0,5.0,CPU1
11,12.0,21.0,5.0,0.0,0.0,1.0,CPU1
12,13.0,28.0,9.0,0.0,1.0,3.0,CPU1
13,14.0,27.0,4.0,1.0,1.0,3.0,CPU1
14,15.0,29.0,5.0,0.0,1.0,2.0,CPU1
15,16.0,19.0,5.0,0.0,0.0,0.0,CPU1
16,17.0,24.0,6.0,1.0,1.0,4.0,CPU1
17,18.0,17.0,1.0,0.0,0.0,0.0,CPU1
18,19.0,22.0,7.0,0.0,0.0,2.0,CPU1
19,20.0,26.0,5.0,1.0,0.0,2.0,CPU1
20,21.0,28.0,6.0,1.0,0.0,3.0,CPU1
21,22.0,18.0,2.0,0.0,0.0,0.0,CPU1
22,23.0,19.0,6.0,0.0,1.0,2.0,CPU1
23,24.0,27.0,5.0,0.0,0.0,1.0,CPU1
24,25.0,19.0,5.0,0.0,1.0,1.0,CPU1
25,26.0,16.0,3.0,0.0,1.0,1.0,CPU1
26,27.0,19.0,5.0,0.0,1.0,1.0,CPU1
27,28.0,16.0,6.0,1.0,1.0,3.0,CPU1
28,29.0,30.0,9.0,0.0,1.0,3.0,CPU1
29,30.0,22.0,6.0,0.0,1.0,3.0,CPU1
30,31.0,11.0,2.0,0.0,0.0,0.0,CPU1
